Symbol	H358.siNeg.1	H358.siNeg.2	H358.siNeg.3	H358.siKRAS.1	H358.siKRAS.2	H358.siKRAS.3	H358.siUHRF1.1	H358.siUHRF1.2	H358.siUHRF1.3	A549.siNeg.1	A549.siNeg.2	A549.siNeg.3	A549.siKRAS.1	A549.siKRAS.2	A549.siKRAS.3	A549.siUHRF1.1	A549.siUHRF1.2	A549.siUHRF1.3
CIAPIN1	6.73048501	6.640127545	6.739507137	6.714916529	6.702469074	6.674236776	6.791267959	6.709456506	6.694777892	7.738761363	7.744812223	7.645667921	7.364380742	7.373853616	7.355967248	7.601591041	7.539646988	7.584229595
SPPL2B	3.876680115	3.605665162	3.707046384	4.480325918	4.349510548	4.28873354	3.781400493	3.835932689	3.865145235	3.903656466	3.704977121	4.087767416	4.875509549	4.720590828	4.809079162	3.953154558	4.128800762	4.170530818
FAM214B	5.53433416	5.531317156	5.599301745	5.559623537	5.589628064	5.507395242	5.448178367	5.568633902	5.437081777	5.667928682	5.5466879	5.61824079	6.236692631	6.457768587	6.302700742	5.198536085	5.088620983	5.160336897
PRKAR2B	3.637124097	3.799335803	3.647348673	3.783794321	4.05661899	3.805912488	3.493520826	3.458948941	3.398987864	2.725848101	2.766810237	3.133821446	4.746788943	4.648682422	4.713128237	3.158032313	3.232814078	3.340557587
MSL3	4.227617819	4.24245251	4.253630688	4.647901968	4.517570192	4.591910963	4.302460647	4.446612214	4.33545133	4.735557864	4.856254397	4.781616322	4.803366746	4.782990556	4.839695241	4.637058163	4.753535056	4.55665214
CREBBP	6.726991308	6.761373926	6.637898714	6.723131036	6.702469074	6.731543997	6.853915772	6.7476145	6.762059553	6.853041712	6.898300626	6.971739517	6.910172036	6.862132488	6.96622433	7.275922385	7.138086564	7.219044977
TSPOAP1	1.81418077	1.725977205	1.653508035	2.54234369	2.4510286	2.41645268	1.354562241	1.513652406	1.739781684	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029	0.106501029
GCFC2	4.29050779	4.475410388	4.434686156	4.624704125	4.600558573	4.642737054	4.595365209	4.49993012	4.405599938	4.846543263	4.856254397	4.938063796	5.004445765	4.987617819	4.803912714	5.015512547	4.928047855	5.010522869
WDR54	4.858379918	4.851948448	4.881184813	5.20426031	5.306201392	5.115953072	5.299905997	5.294634744	5.246366958	4.405107147	4.223893219	4.29490852	4.955355525	4.807213859	4.894191003	4.536651737	4.583078128	4.807433312
CROT	3.069799872	3.232543266	3.05229791	3.532792041	3.366191109	3.462205779	3.209363205	3.034116716	3.375875374	3.662848951	3.618549657	3.443318823	4.67448239	4.662026091	4.783059895	4.111894033	4.099909676	4.093133526
